code,name
100,現金
1097,立替金（整備関係）
1099,未収入金整備工場
110,当座預金
114,普通預金
1241,資金複合
131,未収運賃
150,前渡金
151,短期貸付金
152,立替金
153,未収入金
154,仮払金
155,前払費用
158,仮払消費税等
161,建物付属設備
164,車両運搬具
169,減価償却累計額
181,出資金
182,長期貸付金
183,長期前払費用
185,保険積立金
203,１年内返済長期借入金
204,未払金
205,未払費用
206,前受金
207,仮受金
208,預り金
212,未払法人税等
214,未払消費税
215,仮受消費税等
220,長期借入金
221,預り保証金
223,長期未払金
410,運送給料
413,法定福利費
414,福利厚生費
420,外注費
430,電力費
431,燃料費
435,工場消耗品費
436,自賠責保険料
437,支払保険料
438,修繕費
439,租税公課
440,減価償却費
441,旅費交通費
443,施設利用料
445,施設賦課税
446,事故賠償費
447,被服費
448,損料
449,雑費
461,部品仕入高
500,役員報酬
501,給料手当
502,賞与
505,福利厚生費
510,広告宣伝費
514,管理費
516,燃料費
517,役員賞与
520,水道光熱費
522,事務用消耗品費
523,消耗品費
524,賃借料
525,支払保険料
526,修繕費
527,租税公課
528,減価償却費
529,接待交際費
530,旅費交通費
531,通信費
532,支払手数料
534,諸負担金
536,図書教育費
537,機器リース料
539,雑費
600,受取利息
604,雑収入
610,支払利息
700,固定資産売却益
703,国庫補助金等受贈益
713,固定資産圧縮損
800,法人税･住民税･事業税
810,運送収入
811,賃貸収入
812,整備収入
999,諸口
